Expression,Definition + Context,Example Sentence
up the dosage,To increase the dose — informal phrasing — clinical equivalent: uptitrate or increase the dose,Even after upping the dosage the subsequent injections were not as effective as the first round.
morphine pump (PCA),A patient-controlled analgesia device allowing self-administration of morphine for pain relief,For pain management she was eventually given a pump so she could self-administer morphine as needed.
endometriosis,A condition where uterine tissue grows outside the uterus — causing pelvic pain bloating and fatigue,She had been living with endometriosis for many years before it was formally diagnosed.
occasional bouts of nausea,Intermittent episodes of nausea — not constant but recurring,She experienced occasional bouts of nausea that came on without warning after meals.
cervical cancer,Cancer of the cervix — the lower part of the uterus,She was eventually diagnosed with cervical cancer which fortunately had not advanced too far.
hysterectomy,Surgical removal of the uterus — may also include ovaries and fallopian tubes,She was advised to have a hysterectomy and the procedure went relatively smoothly.
iron deficiency anaemia,Low red blood cell count due to insufficient iron — causes fatigue pallor and breathlessness,The doctor initially suspected iron deficiency anaemia based on her symptoms of fatigue.
iron overload,Excess iron accumulation in the body — as in haemochromatosis,The blood test results were unexpected — she had iron overload rather than iron deficiency.
haemochromatosis,A hereditary condition causing the body to absorb too much iron — treated with regular venesection,Haemochromatosis is a genetic condition — the doctor asked about family history.
venesection,The therapeutic removal of blood to reduce iron stores — primary treatment for haemochromatosis,She was told that venesection — regular removal of blood — was the only treatment option.
stiffness in joints,Reduced ease of movement in joints — particularly noticeable in the morning or after rest,She had started to notice stiffness in her joints — particularly in her fingers and knees.
short of breath,Difficulty breathing or breathlessness — even at rest or during mild activity,She occasionally felt short of breath even during light activities like walking the dog.
caught COVID-19,Became infected with the COVID-19 virus,It all started when he caught COVID-19 — he had not been vaccinated at the time.
flu-like symptoms,Initial symptoms resembling influenza — fever body aches fatigue and cough,He initially presented with typical flu-like symptoms that later developed into a persistent dry cough.
sapped my energy,Gradually drained or depleted energy levels over time — more gradual than wipe out,Looking back the whole experience had really sapped his energy — he just did not feel like himself.
getting out of breath just doing ordinary things,Breathlessness with minimal exertion — a significant functional limitation,He was getting out of breath just doing ordinary things like carrying groceries up the stairs.
brain would go kind of fuzzy,Informal description of cognitive impairment — brain fog — difficulty thinking clearly,His brain would go kind of fuzzy and he could not focus on anything properly.
words would be on the tip of my tongue,Word-finding difficulty — almost remembering a word but being unable to retrieve it — a specific cognitive symptom,Words would be on the tip of my tongue but just would not come out — it was very frustrating.
palpitations,An awareness of the heartbeat — often described as racing pounding or fluttering — always used in plural,When he started experiencing palpitations and chest pains he went to see his doctor.
ECG (electrocardiogram),A recording of the electrical activity of the heart — used to detect arrhythmias and cardiac abnormalities,He underwent several cardiac tests including an ECG and was placed on a heart monitor for five days.
arrhythmia,An abnormal heart rhythm — can be too fast too slow or irregular,The heart monitor identified arrhythmia as the cause of his palpitations and chest discomfort.
beta blockers,Medications that slow the heart rate and reduce blood pressure — used for arrhythmias angina and hypertension,He was prescribed beta blockers for the arrhythmia and noticed improvement almost immediately.
vitamin D levels were low,Blood test finding — vitamin D deficiency — common in people with limited sun exposure,Blood tests also revealed that his vitamin D levels were low and supplements were recommended.
dull ache,A persistent low-level pain — not sharp or stabbing — often described in joints or muscles,The joint pain was best described as a dull ache rather than a sharp or stabbing sensation.
numbness in fingers,Loss of sensation in the fingers — can indicate nerve compression poor circulation or neuropathy,He reported a certain amount of numbness in his fingers which he found particularly worrying.
resistance bands,Elastic bands used for strength training — lower intensity than free weights — suitable for rehabilitation,The physiotherapist suggested starting with resistance bands before progressing to light weights.
stomach ulcer,A sore on the lining of the stomach or duodenum — caused by H. pylori or NSAIDs — presents with burning pain,He had initially thought it was a stomach ulcer which had been troubling him for some time.
endoscopy,A procedure where a flexible tube with a camera is passed through the mouth to examine the digestive tract,He had what the doctor called an endoscopy — a tube passed down the throat to look at the insides.
biopsy,The removal of a small tissue sample for laboratory analysis — to rule out malignancy or confirm diagnosis,As part of the endoscopy a biopsy was taken to make sure it was not something more serious.
Helicobacter pylori,A bacterial infection of the stomach lining — a common cause of peptic ulcers — treated with antibiotics,The endoscopy confirmed Helicobacter pylori — a course of antibiotics cleared it up completely.
hernia operation,Surgical repair of a hernia — where tissue protrudes through a weak spot in surrounding muscle,He had a hernia operation shortly after retiring — he suspected it was an occupational injury.
occupational injury,An injury or health condition caused or worsened by work activities or environment,Several of his colleagues had the same problem — he believed it was an occupational injury.
running out of energy,A gradual depletion of physical energy during activity — fatigue setting in,He would be digging in the garden and suddenly find himself running out of energy.
do not fancy something,British informal — to not want or have an appetite for something — clinical signal for reduced appetite,He no longer fancied the sort of big meals he used to enjoy — he would feel sick if he had too much.
run in families,To have a hereditary or genetic tendency within a family — common lay expression for familial predisposition,He was aware that these conditions can run in families — his uncle had had similar problems.
trip of a lifetime,A highly significant once-in-a-lifetime travel experience — used to explain the urgency of getting medical clearance,The Antarctica cruise was the trip of a lifetime and he needed to make sure he was well enough to go.
varicose veins,Enlarged twisted veins visible under the skin — most common in the legs — can cause aching swelling and itching,She had been struggling with varicose veins that had progressively worsened over the past four years.
blood clot,A coagulated mass of blood — in veins: DVT — in lungs: PE — potentially life-threatening,An ultrasound was performed to check for a blood clot — thankfully that was all clear.
sclerotherapy (foam),A procedure where a foaming agent is injected into varicose veins to seal them — done under local anaesthetic,The doctor arranged foam injections into the varicose veins — a relatively new outpatient procedure.
local anaesthetic,An anaesthetic agent that numbs a specific area without causing unconsciousness,The procedure was performed under local anaesthetic — she did not need to stay overnight.
compression stockings,Graduated pressure stockings worn to improve circulation and reduce swelling — prescribed after vein procedures or DVT,She was required to wear compression stockings for two weeks following the procedure.
paediatrician,A specialist doctor who treats infants children and adolescents,The paediatrician referred the child to a specialist clinic for further assessment.
eczema,A chronic inflammatory skin condition causing itching redness and dry scaly patches,His eczema had flared up significantly over the winter months particularly on his arms.
aqueous cream,A water-based emollient cream used to moisturise dry skin — previously used as a wash for eczema patients,The GP had initially prescribed aqueous cream but it was causing further skin irritation.
petroleum jelly,A thick ointment used as a barrier cream to protect dry or irritated skin — also called Vaseline,Petroleum jelly can be applied as a barrier cream to protect the skin around inflamed areas.
Asperger's syndrome,A condition on the autism spectrum characterised by difficulty with social interaction and rigid routines,She mentioned she had heard about conditions such as Asperger's and wondered if her son might be affected.
gallstones,Solid deposits that form in the gallbladder — can cause upper right abdominal pain especially after fatty meals,An ultrasound was ordered to rule out gallstones as a possible cause of her upper abdominal pain.
heartburn,A burning sensation in the chest caused by stomach acid rising into the oesophagus — also called acid reflux,She described a burning sensation in her chest after meals consistent with heartburn.
bowel habits,The pattern and frequency of a person's bowel movements — clinicians always ask about changes,The GP asked whether she had noticed any changes in her bowel habits over the past few weeks.
in my calf,Pain or swelling located in the lower back of the leg — the calf muscle — clinically relevant for DVT,She reported a dull aching pain in her calf that had developed after a long-haul flight.
metformin,A first-line oral medication for type 2 diabetes — biguanide class — must be taken with meals to reduce GI side effects,She had recently been started on metformin and was experiencing nausea when taking it before breakfast.
nausea,An unpleasant sensation of wanting to vomit — common side effect of many medications,The main side effect she reported was nausea occurring approximately thirty minutes after each dose.
extended release (modified release),A formulation that releases the drug slowly over time — causes fewer GI side effects than immediate release,Switching to extended release metformin may reduce the gastrointestinal side effects significantly.
MUR (Medicines Use Review),A structured review of a patient's medications conducted by a pharmacist to check for problems and improve adherence,She was invited to attend a medicines use review to discuss her new medications and any concerns.
hypertension,High blood pressure — a major risk factor for cardiovascular disease — often asymptomatic,She had been diagnosed with hypertension the previous year and was taking amlodipine.
amlodipine,A calcium channel blocker used to treat hypertension and angina — common side effects include ankle swelling and flushing,She was taking amlodipine ten milligrams once daily for her hypertension.
atorvastatin,A statin medication used to lower cholesterol — can cause muscle aches — must not be taken with grapefruit juice,Her atorvastatin dose had recently been increased from twenty to forty milligrams.
ibuprofen,A non-steroidal anti-inflammatory drug (NSAID) — reduces pain fever and inflammation — can raise blood pressure and worsen renal function,She had been taking ibuprofen for her headaches without realising it could affect her blood pressure.
raise blood pressure,To increase systemic blood pressure — NSAIDs can do this especially in patients already on antihypertensives,Ibuprofen can raise blood pressure which is particularly concerning in patients already being treated for hypertension.
postural hypotension,A drop in blood pressure on standing — causing dizziness or lightheadedness — common cause of morning dizziness,The dizziness on standing first thing in the morning was consistent with postural hypotension.
salt intake,The amount of sodium chloride consumed through food — reducing salt helps lower blood pressure,Her GP had advised her to reduce her salt intake as part of managing her hypertension.
paracetamol,A common analgesic and antipyretic — first-line choice for pain in patients on warfarin or with peptic ulcer disease,The pharmacist recommended switching from ibuprofen to paracetamol to avoid the blood pressure interaction.
highly strung,Easily upset or stressed — tense and anxious by nature — describes a child or person who reacts strongly to change,His teachers had alluded to the fact that he is highly strung and struggles to cope with changes in routine.
feel shattered,To feel completely exhausted — British informal — stronger than tired,She said she just feels shattered by mid-afternoon and can barely get through the rest of her shift.
hard dropping off to sleep,Difficulty falling asleep at the start of the night — sleep onset insomnia — distinct from waking in the night,It is really hard dropping off to sleep some nights even when she is completely exhausted.
the responsibility got me down,The burden of responsibility caused low mood or emotional exhaustion — phrasal verb get down = to make someone feel depressed,She explained that the responsibility really got her down — managing everything alone had been overwhelming.
bowel habits,The pattern and frequency of a person's bowel movements,The pharmacist asked whether he had noticed any changes in his bowel habits since starting the new medication.
first seizure,The initial seizure episode — onset of epilepsy or a new neurological condition,The patient experienced her first seizure approximately one month ago while at work.
lost the ability to speak,Sudden or gradual loss of speech production — may indicate stroke TIA or neurological damage,She lost the ability to speak and was babbling incoherently — consistent with a dominant hemisphere lesion.
progressive deterioration of mental status,A gradual worsening of cognitive function consciousness or behaviour over time,The notes describe progressive deterioration of mental status over a three-week period.
altered mental status,Any change from baseline mental functioning — includes confusion agitation or reduced consciousness,She presented with intermittent altered mental status — lucid at times then acutely confused.
O2 sats are dropping,Oxygen saturation falling — a critical clinical sign requiring immediate action,Her O2 sats are dropping rapidly — we need to secure the airway.
blood pressure is plummeting,Blood pressure falling rapidly — a sign of haemodynamic instability,Blood pressure is plummeting — commence vasopressors immediately.
ventricular fibrillation (V-fib),Chaotic electrical activity in the ventricles — no effective cardiac output — requires defibrillation immediately,The monitor showed ventricular fibrillation — we charged the defibrillator and delivered a shock.
sinus rhythm restored,Normal cardiac rhythm re-established after arrhythmia or cardiac arrest,After two shocks sinus rhythm was restored and the patient's blood pressure began to recover.
respiratory arrest,Cessation of breathing — requires immediate airway management and ventilation,The patient went into respiratory arrest and required emergency intubation.
she is seizing,Active seizure in progress — requires immediate medical response,She is seizing — give lorazepam 2mg IV and call for senior support.
she is aspirating,Inhaling foreign material (food secretions or vomit) into the airway — risk of aspiration pneumonia,She is aspirating — suction the airway and position her on her side immediately.
she is ashen,Very pale or grey in colour — a sign of poor perfusion or shock,The patient looked ashen and diaphoretic — consistent with cardiogenic shock.
cannot ventilate,Unable to provide effective breaths through a bag mask or tube — requires alternative airway,I cannot ventilate — there is significant oedema blocking the airway — we need a surgical airway.
too much oedema,Excessive fluid accumulation in tissues — swelling that may obscure a lesion or obstruct a procedure,There is too much oedema to visualise the lesion clearly on imaging.
myoclonic jerk,An involuntary brief muscle twitch — can occur at sleep onset (normal) or indicate neurological disease,He reported myoclonic jerks at sleep onset — this may be clinically significant.
acute confusional state,Sudden onset of confusion disorientation and cognitive disturbance — also called delirium,She was brought in by her husband in an acute confusional state — unable to recognise him.
photophobia,Abnormal sensitivity to light — a key sign of meningitis migraine and other neurological conditions,She had marked photophobia and neck stiffness — bacterial meningitis needed to be excluded urgently.
clubbing of fingers,Enlargement of the fingertips with a curved nail — associated with chronic hypoxia lung disease or cardiac conditions,Examination revealed significant clubbing of the fingers suggesting long-standing respiratory or cardiac disease.
intubate stat,To pass a breathing tube into the trachea immediately — used in emergency airway management,Intubate stat — he is not maintaining his own airway.
defibrillation — Charging Clear,The process of delivering an electrical shock to restore normal heart rhythm — Charging = loading the device — Clear = warning others to stand back,Charging — stand clear — shock delivered — checking rhythm now.
differential diagnosis,A list of possible diagnoses ranked by likelihood — generated from symptoms signs and test results,The team met to discuss the differential diagnosis before ordering further investigations.
diagnosis of exclusion,A diagnosis reached by systematically ruling out all other possible causes,The diagnosis was one of exclusion — every other cause had been systematically eliminated.
cultures are pending,Microbiological cultures have been sent but results are not yet available,CSF cultures are pending — we should have preliminary results within 48 hours.
commenced on broad-spectrum antibiotics,Started on antibiotics that cover a wide range of bacteria — used empirically before culture results are available,The patient was commenced on broad-spectrum antibiotics pending culture results.
therapeutic trial,A treatment given to test a diagnostic hypothesis — if the patient improves the diagnosis is supported,A therapeutic trial of high-dose steroids was initiated — improvement would support the working diagnosis.
treatment discontinued due to adverse reaction,The medication was stopped because of a harmful or unexpected side effect,Treatment was discontinued due to an adverse reaction — the patient developed anaphylaxis within minutes.
cerebral vasculitis,Inflammation of blood vessels in the brain — rare — presents with headache seizures and neurological deficits,Cerebral vasculitis was confirmed on biopsy and treatment with high-dose steroids was commenced.
neurocysticercosis,A parasitic infection of the brain caused by tapeworm larvae — common in areas where pigs are raised,Neurocysticercosis was identified on MRI — the patient had recently travelled to an endemic region.
anaphylactic shock,A severe life-threatening allergic reaction — causes airway swelling hypotension and circulatory collapse,She went into anaphylactic shock within minutes of the first dose — epinephrine was given immediately.
multiple sclerosis (MS),An autoimmune condition attacking the myelin sheath of nerves — causes relapsing or progressive neurological symptoms,Oligoclonal bands in the CSF and white matter lesions on MRI are consistent with multiple sclerosis.
DNR — Do Not Resuscitate,A legal clinical document stating that cardiopulmonary resuscitation should not be attempted if the patient arrests,The DNR was signed by the patient after a detailed discussion with the palliative care team.
albendazole,An antiparasitic drug used to treat tapeworm infections including neurocysticercosis,Albendazole was prescribed for neurocysticercosis along with steroids to reduce the inflammatory response.
epinephrine (adrenaline),A catecholamine drug used in anaphylaxis cardiac arrest and severe asthma — causes bronchodilation and vasoconstriction,Epinephrine 0.5mg was administered intramuscularly for the anaphylactic reaction.
lorazepam (Ativan),A benzodiazepine used to terminate seizures and reduce anxiety — given IV or IM in emergencies,Lorazepam was given intravenously to terminate the seizure activity.
gadolinium,A contrast agent injected intravenously for MRI — enhances visibility of lesions and abnormal tissue,Gadolinium was injected into a vein — it distributes through the brain and acts as contrast material for the MRI.
====== SET 12 (Latest) ======,,
practise (verb) / practice (noun),British spelling distinction — practise is always the verb practice is always the noun (US English uses practice for both),She needs to practise her injection technique daily before the assessment. His pharmacy practice has grown significantly since 2020.
strenuous,Requiring great physical effort or exertion — used when assessing activity tolerance and exercise capacity,He was advised to avoid strenuous activity for six weeks following the surgery.
exertion,Physical effort or strain — clinically relevant for assessing breathlessness chest pain and cardiac symptoms,She reported shortness of breath on exertion — even walking up one flight of stairs left her breathless.
in detail,Thoroughly and with full information — signals a comprehensive rather than superficial explanation,"The pharmacist explained the medication regimen in detail, covering timing, side effects, and what to do if a dose was missed."
detailed,Containing many specific facts or particulars — thorough and comprehensive,A detailed medication history was taken before the new prescription was dispensed.
====== SET 16 (Latest) ======,,
similar,Resembling something else but not identical — used in clinical contexts to describe comparable symptoms presentations or drugs,The rash appeared similar to contact dermatitis but the distribution was unusual.
neonatal,Relating to newborn infants — specifically the first 28 days of life — stress on NEE-oh-NAY-tul,The neonatal unit provides specialist care for premature or seriously ill newborns.
pathogen,A microorganism such as a bacterium virus or fungus that causes disease — stress on PATH-uh-jen,Identifying the specific pathogen is essential before selecting the appropriate antibiotic.
profuse,Present in large amounts — used clinically for sweating bleeding or vomiting that is far above normal — stress on pruh-FYOOS,She presented with profuse sweating and chest pain — a cardiac cause was immediately considered.
diaphoresis,The medical term for profuse sweating especially when caused by illness fever or medication — stress on dy-uh-fuh-REE-sis,Diaphoresis and pallor on examination were consistent with haemodynamic compromise.
====== SET 17 (Latest) ======,,
aztreonam,A monobactam antibiotic used against gram-negative bacteria — useful for patients with penicillin allergy — stress on AZ-tree-oh-nam,Aztreonam was selected because the patient had a documented severe allergy to penicillin.
bluntly,In a direct and sometimes harsh manner without softening — used to signal that what follows is frank and unfiltered — stress on BLUNT-lee,"Bluntly, the treatment has not been working and we need to consider a different approach."
====== SET 18 (Latest) ======,,
sequential,Following a particular order or sequence — one step logically following the previous — used in clinical protocols and treatment planning,The rehabilitation programme follows a sequential structure — strength before mobility before function.
ambient,Relating to the surrounding environment or conditions — especially temperature sound or light — used in clinical settings for environmental monitoring,The ambient temperature of the medication storage area must be kept between 15 and 25 degrees Celsius.
====== SET 19 (Latest) — Richard / Bay Sessions ======,,
allergen,A substance that triggers an allergic reaction — distinct from allergy (the reaction itself) — allergen is the trigger substance — stress on AL-uh-jen,Dust mites pollen mold and pet dander are the most common allergens associated with asthma.
dust mites,Microscopic insects living in household dust — one of the most common asthma allergens — stress on DUST MYTS,House dust mites are found in bedding carpets and soft furnishings — regular washing in hot water helps reduce exposure.
pollen,Fine powder released by plants — a common seasonal allergen triggering asthma and hay fever — stress on POL-un,Her asthma tends to worsen in spring when the pollen count is high.
mold (mould),A type of fungus growing in damp conditions — a common indoor allergen for asthma — British spelling is mould American is mold,Mold in bathrooms and basements can significantly worsen asthma symptoms in susceptible patients.
wheezing,A high-pitched whistling breathing sound caused by narrowed airways — a hallmark symptom of asthma — stress on WHEEZ-ing,She presented with audible wheezing on expiration and significant chest tightness — her peak flow was reduced.
salbutamol,A short-acting beta-2 agonist bronchodilator — the most common reliever inhaler — brand name Ventolin — stress on sal-BYOO-tuh-mol,Salbutamol should be used for immediate relief of acute asthma symptoms — not as a regular daily treatment.
preventer inhaler,An inhaled corticosteroid used daily to reduce airway inflammation and prevent asthma symptoms — distinct from reliever inhaler,She was reminded to use her preventer inhaler every morning regardless of whether she had symptoms.
reliever inhaler,A bronchodilator inhaler used when asthma symptoms occur for immediate relief — salbutamol is the most common example,She carries her reliever inhaler at all times in case of an acute asthma episode.
inhaled corticosteroids (ICS),Steroid medications delivered directly to the airways by inhaler — the mainstay of asthma preventer therapy — examples include fluticasone and budesonide,Inhaled corticosteroids are the most effective preventer treatment for persistent asthma and should be taken daily.
muscle tightening,The contraction of smooth muscle surrounding the airways in asthma — causes the airway to narrow and makes breathing difficult,Asthma causes muscle tightening around the airways which reduces the diameter through which air can pass.
non-pharmaceutical management,Treatment approaches that do not involve medication — for asthma includes trigger avoidance environmental control and breathing exercises,Non-pharmaceutical management of asthma is an important complement to medication — identifying and avoiding triggers can significantly reduce the frequency of attacks.
medical hedging,The use of qualifying language such as may include can cause or is often associated with to express clinical uncertainty appropriately — essential in OET writing and speaking,Medical hedging such as may include and is often triggered by is essential when describing symptoms — it reflects clinical accuracy and avoids overstating certainty.
nasal decongestant,A medication that reduces nasal congestion by constricting blood vessels in the nasal mucosa — should not be used for more than 3 to 5 days due to rebound risk,Nasal decongestants are effective short-term but prolonged use beyond five days leads to rebound congestion.
rebound congestion (rhinitis medicamentosa),Worsening nasal congestion that occurs after stopping or overusing a nasal decongestant — caused by receptor desensitisation,She had been using the decongestant for three weeks — the pharmacist explained that her ongoing congestion was likely rebound congestion.
prolonged use,Use of a medication for longer than the recommended duration — often associated with increased risk of side effects or tolerance,Prolonged use of nasal decongestants is not recommended — the maximum safe duration is three to five days.
saline nasal spray,A sodium chloride solution used as a nasal rinse — no active drug ingredient — safe for long-term daily use — alternative to decongestants,The pharmacist recommended switching to a saline nasal spray which can be used as often as needed without any risk of rebound effects.
nasal passage / nasal mucosa,The internal cavity of the nose lined with mucous membrane — the surface affected by decongestants and saline spray,Prolonged decongestant use can cause irritation to the mucous lining of the nasal passage.
safety netting,The clinical communication strategy of telling a patient what to do if symptoms continue worsen or change — always included in OET closing,Safety netting is the final step — always tell the patient to come back if the problem persists or if they have any concerns.
occupational health nurse,A registered nurse who advises employers on workplace health and wellbeing — the role described in the Maria Chen reading passage,Maria Chen worked as an occupational health nurse advising companies on how to support staff mental health and prevent burnout.
stigma (mental health),The negative attitudes and social shame attached to mental health conditions that prevent people from seeking help,The stigma surrounding mental health in the workplace is slowly fading as employers increasingly offer counselling and support.
scope of practice,The defined range of procedures and actions that a healthcare professional is legally and professionally authorised to perform,If the patient's symptoms are outside our scope of practice we would refer them to the appropriate healthcare professional.
====== SET 19 (Latest — from Richard/Bay/Greg sessions) ======,,
allergen,A substance that triggers an allergic reaction — distinct from allergy (the condition itself) — stress on AL-ur-jen,"Common allergens include dust mites, pollen, mold, and pet dander — all of which can trigger asthma."
wheezing,A high-pitched whistling sound when breathing — caused by narrowed airways — a key asthma symptom — stress on WEEZ-ing,The patient presented with wheezing and chest tightness that had started during moderate exercise.
salbutamol,A short-acting bronchodilator (SABA) — used for acute asthma relief — brand name Ventolin — stress on sal-BYOO-tuh-mol,Salbutamol is the reliever inhaler used for acute symptoms — it should not replace the daily preventer.
preventer inhaler / controller inhaler,Daily inhaled corticosteroid used to prevent airway inflammation — distinct from reliever inhalers used for acute symptoms,She had been taking her preventer inhaler daily for six months and had not needed her salbutamol once.
COPD — Chronic Obstructive Pulmonary Disease,A chronic progressive lung condition — always introduce abbreviation with full form on first use — OET best practice,"Patients with COPD, which is a chronic obstructive pulmonary disease, often require both pharmacological and non-pharmacological management."
second-hand smoke,Smoke inhaled by non-smokers from a nearby smoker — also called passive smoking — an important counselling topic,Second-hand smoke affects family members who live with smokers — children are particularly vulnerable to its effects.
nicotine dependence / nicotine addiction,Both acceptable in OET — dependence is slightly more clinical — key point: cessation is very difficult without structured support,Nicotine dependence makes cessation very difficult — pharmacological support such as nicotine replacement therapy is strongly recommended.
cessation,The act of stopping a behaviour — clinical term for quitting smoking — more formal than quitting,Cessation is strongly recommended for all smokers — a range of pharmacological and behavioural support options are available through community pharmacy.
cardiovascular disease,Disease affecting the heart and blood vessels — smoking raises blood pressure and leads to cardiovascular disease and stroke,Smoking increases blood pressure which over time leads to cardiovascular disease and significantly raises the risk of stroke.
impair (cognitive function),To weaken or damage a specific function — impair + noun — impair cognitive function is a high-register clinical phrase,Second-hand smoke can impair cognitive function in children — particularly affecting attention and language development.
detrimental,Causing harm or damage — a high-register clinical adjective that lifts writing from B2 to C1 — stress on det-ri-MEN-tul,Smoking has detrimental effects on both the respiratory and cardiovascular systems.
decongestant (prolonged use),A medication used to relieve nasal congestion — recommended for 3 to 5 days only — prolonged use causes rebound congestion,Prolonged use of nasal decongestants beyond five days can cause the receptors to become desensitised and the spray loses effectiveness.
saline spray,A salt water solution used as a nasal rinse — no medication involved — can be used as often as needed — no rebound risk,The advantage of saline spray is that it helps the nasal passage to recover naturally and can be used long term without any side effects.
nasal mucus / nasal passage,The lining and internal channel of the nose — mucus = the fluid produced — both terms used in decongestant counselling,Saline spray helps the nasal mucus to recover and keeps the nasal passage moist and clear.
rebound congestion,Worsening of nasal congestion after stopping or overusing a nasal decongestant — also called rhinitis medicamentosa,Prolonged use of decongestants leads to rebound congestion — the nose becomes more blocked than before once the spray is stopped.
if the problem persists please come back,OET essential closing phrase — always include a safety net and referral option in closing — problem persists must be memorised,If the problem persists after two weeks of using the saline spray please come back — we can discuss other options or refer you to your doctor.
causative structure — cause / lead to / result in,Things cause effects using a noun structure — not to + verb. Pattern: [cause] + cause/lead to/result in + [noun effect]. Smoking damages ✅ / smoking causes to damage ❌,High fever can cause significant fluid loss — prolonged fever may lead to dehydration and in severe cases can result in seizures.
stative verbs — consist of / contain / include,These verbs describe a state not an action — never use is before them. Body consists of water ✅ / body is consist of water ❌,Our body consists of approximately 60 to 70 percent water — which is why adequate daily fluid intake is essential.
transitive verbs — acknowledge / confirm / accept,These verbs take a direct object with no preposition — acknowledge this ✅ / acknowledge about this ❌. Same rule: confirm / accept / consider / understand,Parents must acknowledge the early signs of fever and respond promptly rather than waiting.
embedded question — statement word order,When a question is inside a statement the word order flips to subject + verb — what the fever is ✅ / what is the fever ❌,First we need to define what the fever is — then we can explain how the body responds.
====== SET 19 (Latest) — Richard + Greg Multi-Session Batch ======,,
wheezing,A high-pitched whistling sound made during breathing when airways are narrowed — a key symptom of asthma that Derek omitted from his 3-2-1 speech — stress on WEEZ-ing,The patient presented with wheezing on exertion and a persistent nocturnal cough consistent with poorly controlled asthma.
allergen,A substance that triggers an allergic reaction — distinct from allergy which is the reaction itself — stress on AL-ur-jen,"Common allergens in asthma include dust mites, pollen, mould, and pet dander."
dust mites,Microscopic insects living in household dust — one of the most common triggers of asthma and allergic rhinitis,She was advised to use allergen-proof mattress covers to reduce exposure to dust mites.
preventer inhaler,An inhaler containing inhaled corticosteroids used daily to reduce airway inflammation and prevent asthma attacks — distinct from reliever inhaler,The pharmacist reminded her that the preventer inhaler must be used every day even when she feels well.
reliever inhaler,A short-acting bronchodilator such as salbutamol used to relieve acute asthma symptoms — also called rescue inhaler,He was instructed to carry his reliever inhaler at all times and use it at the first sign of breathing difficulty.
salbutamol,A short-acting beta-2 agonist bronchodilator used as a reliever for acute asthma — brand name Ventolin — stress on sal-BYOO-tuh-mol,Salbutamol provides rapid relief by relaxing the muscles around the airways within minutes of inhalation.
inhaled corticosteroids (ICS),Steroid medications delivered by inhaler used to reduce airway inflammation as daily preventer therapy in asthma,Inhaled corticosteroids are the most effective preventer medication for persistent asthma in both adults and children.
trigger (asthma),A substance or condition that provokes an asthma attack — Richard specifically noted this word appears constantly in OET,Identifying and avoiding personal asthma triggers is a key part of long-term asthma management.
inflammation,The body's immune response causing redness swelling heat and pain — a core mechanism in asthma and many OET conditions — Richard specifically flagged this word,Persistent airway inflammation in asthma leads to progressive narrowing and hyperresponsiveness of the airways.
medical hedging,Language that appropriately qualifies clinical statements to avoid overpromising — e.g. may include / can cause / is often associated with — essential in OET writing and speaking,"The key symptoms may include chest tightness, wheezing, and cough — Richard praised this use of medical hedging as OET-level."
acute,Sudden in onset and usually short in duration — contrasted with chronic — stress on uh-KYOOT,Salbutamol is used for acute symptom relief while the preventer inhaler controls the chronic underlying inflammation.
non-pharmaceutical,Relating to treatment approaches that do not involve medication — including trigger avoidance environmental control and lifestyle modification,Non-pharmaceutical management of asthma includes avoiding known triggers and maintaining a clean low-allergen environment.
occupational health,The branch of healthcare concerned with the physical and mental wellbeing of workers — seen in Greg Lesson 14 Maria Chen text,Maria Chen was an occupational health nurse who advised companies on staff wellbeing and mental health programmes.
stigma,A mark of disgrace or disapproval attached to a condition or behaviour — particularly relevant in mental health contexts,The stigma around mental health in the workplace is slowly fading as employers begin to offer counselling and support.
burnout,A state of chronic physical and emotional exhaustion caused by prolonged workplace stress — distinct from tiredness — stress on BURN-owt,Many community pharmacists report burnout within the first five years due to high dispensing volumes and understaffing.
scope of practice,The range of clinical activities a healthcare professional is qualified and legally permitted to perform,Should the symptoms be above our scope of practice we would refer the patient to the relevant healthcare professional.
refer a patient,To send a patient to another healthcare professional for specialist assessment or treatment — a core OET clinical action,"If the symptoms persist or are beyond the pharmacist's scope, the patient should be referred to their GP."
therapeutic,Relating to the treatment or cure of a disease or disorder — stress on ther-uh-PYOO-tik,The programme was designed to focus on treatment in a therapeutic way rather than simply managing symptoms.
dehydration,A dangerous condition resulting from insufficient fluid intake or excessive fluid loss — common cause: fever vomiting diarrhoea or sweating,Prolonged fever may result in dehydration due to excessive fluid loss through sweating.
fluid intake,The total amount of liquid consumed — always a noun phrase — intake is a NOUN not a verb,Patients should be advised to maintain adequate fluid intake particularly during illness when losses are increased.
hydration,The process of maintaining adequate fluid levels in the body — clinical equivalent of drinking enough water,Adequate hydration is essential for normal digestive function and temperature regulation.
regulate,To control or maintain something at a stable level — used for temperature blood pressure and organ function,Water plays a critical role in helping the body regulate its internal temperature.
monitor,To observe and check something regularly over time — a core clinical instruction verb,We should monitor body temperature at regular intervals to detect any changes early.
vigilant,Watchfully alert and attentive — used when advising carers or parents to watch for warning signs,Parents and carers should be advised to remain vigilant for signs of fever or deterioration in young children.
carer,A person who provides care for someone who is sick elderly or dependent — an OET key word for written tasks,Parents and carers should be advised to remain vigilant for early signs of fever in children.
